OBJECTID,Join_Count,TARGET_FID,JOIN_FID,COUNT_,SUM_Acres_Restored,CODE,Project_Number,Project_Name,Treatment_ID,Year_Start,Year_End,COMPLETION_DATE,longitude,latitude,State,County,Database_,Site_Name,Refuge_Name,FS_UNIT_NAME,Acres_Restored,Activity,Management_Type,Subcategory,Treatment,Project_Description,Landowner_type,Lead_Organization,Federal_Project_Partner,non_federal_partners,PARTNER_NAME,Species_mentioned,Plant_species,AFFECTED_Z,Notes,DFP_Notes,Shape__Area,Shape__Length
1,1,1,8185,2,13.84,ORWRI414,22270,Wallowa Canyonlands Skeletonweed and Bugloss Control,,2019,2020,,-116.8588997,45.60628821,OR,Wallowa,ORWRI,Bare Creek-Imnaha River,,,6.92,Maintenance,Riparian,Riparian invasive plant control,,"Riparian treated for non-native or noxious plant species; Upland treated for non-native or noxious plant species",,OWEB,,OWEB,,,,,,lat/long is centroid of county,0.00487376771661729,0.266009452570969
2,1,1,8186,2,13.84,ORWRI415,22270,Wallowa Canyonlands Skeletonweed and Bugloss Control,,2019,2020,,-116.8588997,45.60628821,OR,Wallowa,ORWRI,Bare Creek-Imnaha River,,,6.92,Maintenance,Riparian,Riparian invasive plant control,,"Riparian treated for non-native or noxious plant species; Upland treated for non-native or noxious plant species",,OWEB,,OWEB,,,,,,lat/long is centroid of county,0.00487376771661729,0.266009452570969
3,1,2,8453,2,352,ORWRI544,17474,Newsome Creek Restoration Project,,2014,2015,,-120.47904021,44.13578228,OR,Crook,ORWRI,Newsome Creek,,,82,Maintenance,Upland,Upland invasive plant control,Weed Treatment,"Upland shrubs or herbaceous vegetation planted/reseeded; Upland treated for non-native or noxious plant species",,OWEB,,OWEB,,,,,,lat/long is centroid of county,0.00475317313794221,0.262050145942408
4,1,2,8474,2,352,ORWRI566,18724,South Horse Heaven Upland Improvement,,2014,2015,,-120.45332121,44.18032076,OR,Crook,ORWRI,Lower Horse Heaven Creek,,,270,Maintenance,Upland,Upland invasive plant control,,"Upland shrubs or herbaceous vegetation planted/reseeded; Upland treated for juniper by clearing, burning, thinning, or removal; Upland treated for non-native or noxious plant species",,Crook SWCD,,Crook SWCD,,,,,,lat/long is centroid of county,0.00475317313794221,0.262050145942408
5,1,3,3622,1,34,FS1341,,,,,2014,12/8/2014,-119.1494318,43.91295041,OR,Harney,FS,Dryer-13 Precribed Burn,,MALHEUR NATIONAL FOREST,34,Maintenance,Fuels,Prescribed Fire,Dryer-13 Prescribed Burn,OBSOLETE-Hazardous Fuel Reduction,,,,,,Pollinator,,0402 2015 Dryer-13 Prescribed Burn Wildlife,,Lat/long is centroid of polygon,0.00473184301881702,0.261363028083732
6,1,4,4012,1,,LTDL161,20549,Line Fire KJR0 Emergency Stabilization and Rehabilitation 2016,50982,2016,,,-114.25442956,37.437220553,NV,Lincoln,LTDL,,,,,Restoration,Herbicide/Weeds/Chemical,Herbicide,Noxious Weeds: Weed Control - Herbicide Application,The noxious weed treatment will be deemed effective if the following objective is met: Noxious weed\r\npopulations will not spread to larger areas than what was there pre-fire.,Federal,BLM,BLM,,,,,,,lat/long is centroid of county,0.00429961216832453,0.24686378397551
7,1,5,3374,3,2674.0001,FS1087,,,,,2017,7/6/2017,-118.4556314,44.61398976,OR,Grant,FS,060401_CrawfordRXBurn02_03_2017,,MALHEUR NATIONAL FOREST,4.1667,Maintenance,Fuels,Prescribed Fire,R060101 NewberryMeadowEnhance,Vegetation and Watershed Mgt,,,,,,Pollinator,,060401_CrawfordRXBurn_02_03_2017_Wild,,Lat/long is centroid of polygon,0.00478788426653409,0.263204255943856
8,1,5,3375,3,2674.0001,FS1088,,,,,2017,7/6/2017,-118.4556314,44.61398976,OR,Grant,FS,060401_CrawfordRXBurn02_03_2017,,MALHEUR NATIONAL FOREST,2665.6667,Maintenance,Fuels,Prescribed Fire,061201 2019 OSB HandMeadow 23,Collaborative Forest Landscape Restoration,,,,,,Pollinator,,060401_CrawfordRXBurn_02_03_2017_Wild,,Lat/long is centroid of polygon,0.00478788426653409,0.263204255943856
9,1,5,3376,3,2674.0001,FS1089,,,,,2017,7/6/2017,-118.4556314,44.61398976,OR,Grant,FS,060401_CrawfordRXBurn02_03_2017,,MALHEUR NATIONAL FOREST,4.1667,Maintenance,Fuels,Prescribed Fire,R060101 NewberryMeadowEnhancement,Wildlife and Fisheries Habitat Mgt,,,,,,Pollinator,,060401_CrawfordRXBurn_02_03_2017_Wild,,Lat/long is centroid of polygon,0.00478788426653409,0.263204255943856
10,1,6,8819,3,1301,FS792,,,,,2018,5/10/2018,-118.7201521,44.35241513,OR,Grant,FS,060404_CanyonCrkComplex_TreePlantFY2018,,MALHEUR NATIONAL FOREST,10,Enhancement,Veg Mgmt,Planting,Prescribed burn- Bird Track,Vegetation and Watershed Mgt,,,,,,Pollinator,,060404_CanyonCrkComplex_TreePlantFY2018_HABaz,,Lat/long is centroid of polygon,0.00477041273006762,0.26263045784181
11,1,6,8820,3,1301,FS793,,,,,2018,5/10/2018,-118.7201521,44.35241513,OR,Grant,FS,060404_CanyonCrkComplex_TreePlantFY2018,,MALHEUR NATIONAL FOREST,10,Enhancement,Veg Mgmt,Planting,060105 SIS RxBurn Spring FY19,Wildlife and Fisheries Habitat Mgt,,,,,,Pollinator,,060404_CanyonCrkComplex_TreePlantFY2018_HABaz,,Lat/long is centroid of polygon,0.00477041273006762,0.26263045784181
